desc
"西湖边的一个小小过街通道竟然美的有些过分。之所以如此吸引人，是因为玻璃顶面非常干净，让整个空间明亮通透。杭州真的是一座在细节上让人喜欢的城市。这里的绿色特别舒适，充满了治愈感。每天都能发现新的惊喜。从这个通道走到西湖的南山路，沿途有一大片高大的梧桐树，中国美术学院也近在咫尺，散步非常惬意。

拍摄建议：使用手机拍摄或携带广角镜头，最好选择中午有阳光的时候前往，这样可以捕捉到绝美的夏日感觉。下雨天也不错，雨水落在屋顶上形成的圆圈很有氛围感。

位置：杭州定安路涌金门地下通道

我是大之喵，一个热爱探索城市的旅行者。

#记录我的城市# #自然风光分享# #假日citywalk# #杭州旅游# #西湖# #浪漫生活的记录者# #周末去哪儿# #治愈系# #氛围感# #暑你会晒#"
"接下来的杭州将是春和景明🌸。比起人挤人的西湖，樱花季的中国院子更是美到极致。小桥流水、亭台楼阁，栽满了樱花。江南庭院的中式美学令人赞叹不已！等到蓝调时分，樱花在暖光烘托下，冷暖对比，更加梦幻🌙。下个月，约上小伙伴，我们樱花树下不见不散。

🌸 中国院子·梦溪苑
  
- **馒头山社区**：有老底子杭州的人文气息，也适合日韩系人像、街拍，还有几个创意园区很出片。
  
- **南宋御街**：皇室巡游大道，杭州的“万国建筑博物馆”。

### 路线二：桥西历史街区 → 小河直街 → 大兜路历史街区

- **桥西历史街区**：杭州地标拱宸桥和千年京杭大运河，小小街区藏着运河、伞、扇、手工艺、刀/剪/剑五大博物馆，全免费，9:00-16:30开放，周一闭馆。
  
- **小河直街**：杭州网红街区，小桥流水，白墙黛瓦，下雨时特有江南意境，这里有许多网红店，隔壁是国际著名建筑师隈研吾作品、浓浓工业风的小河公园，青草地+油罐+废旧厂房很出片。
  
- **大兜路历史街区**：有许多古建、文创店、咖啡馆和精致餐厅，香积寺也在这里，宋韵配古装很出片。

两条线路分别耗时约半天，最适合一日游，可选择性游玩。景点间距离很近，可以选择步行或骑行，也可以反着走！

快乐旅行，暴瘦暴瘦🏋️

关注我，了解更多📱

#杭州周末去哪# #江浙旅游# #CityWalk# #小河直街# #桥西历史街区# #大兜路历史街区# #馒头山社区# #老街# #周末遛娃# #小众旅行地# #徒步# #杭州同城活动# #记录我的城市# #小众旅游# #一日游# #周末好去处#"
"从2013年开始，我们一直在路上调研传统手艺，至今已走过11个年头，积累了大量手工艺品。2020年，我们的民艺研究中心正式落成，终于有机会把这些珍贵的收藏与大家分享。研究中心共有三层空间：

- **一楼**为展览区，展出各类精美的手工艺品。
- **二楼**是手工艺品的陈列区域，展品来自全国各地，包括皮影、风筝、竹编、鱼灯、年画等。
- **三楼**设有非遗体验空间，让参观者能更深入地感受和体验非物质文化遗产的魅力。

欢迎大朋友和小朋友们前来参观，感受和体验这些珍贵的文化遗产。

- **地点**：杭州余杭区瓶窑老街（在地图上搜索“自然造物”即可找到）
- **营业时间**：10:00 - 17:00

相关话题：
- #我在小红书做非遗
- #自然造物
- #自然造物民艺研究中心
- #自然造物民艺馆
- #我在街巷探非遗
- #探店打卡
- #看展
- #杭州周末去哪儿
- #传统手艺
- #中国风

欢迎关注@手工薯"
"出差来杭州，只有晚上有空出来玩。以下是一份杭州夜游攻略，全城9种夜游玩法，可以直接收藏备用：

- 如果您来杭州，可以将行李交给我们，替您送去酒店。
- 您可以直接离开，不用找寄存，不用往返送行李，节约至少2小时。
- 退房时可以把行李放在酒店，我们替您送去车站机场存好。
- 您结束行程后在车站机场自提行李后即可。
- 需要开发票可报销。

**西湖夜游**
- **西湖音乐喷泉**
  - 开放时间：周一至周日19:30，一场约15分钟，免费。
- **登雷峰塔看西湖夜景**
  - 开放时间：08:00-20:00，门票40元，夜幕降临，亮灯后熠熠生辉。
- **乘西湖夜游船**
  - 开放码头：少年宫、五公园、二公园、一公园。
  - 周日至周四每晚18:30-21:00，周五周六每晚18:30-21:30，船票50-90元。
  - 乘游船环湖一周，途经白堤-平湖秋月-苏堤-三潭印月-雷峰塔-柳浪闻莺-回码头。
- **武林夜市逛吃**
  - 地址：凤起路地铁站B口步行500米，各种网红美食小吃。

**小河直街夜游**
- **小河直街CityWalk**
  - 仿古建筑街道复原杭州历史风情，周末节假日还有各种好玩的集市。
- **乘京杭大运河夜游船**
  - 武林门码头-拱宸桥，开航时间19:00、19:30、20:20、20:40，船票120元，看大运河两岸夜景。

**钱塘江夜游**
- **乘钱塘江夜游船**
  - 开放滨江码头，时间18:00、19:00、19:20、20:20，船票128元起。
  - 途径滨江码头-钱江龙-杭州印-西兴大桥-奥体中心-杭州之门-日月同辉-远眺复兴大桥-钱王射潮-滨江码头，往返一小时，中途不下船。
- **看钱江新城灯光秀**
  - 时间：秋冬令时周五至周六18:30、19:30，周日至周四19:30，城市阳台为最佳机位。
- **拍照打卡大小莲花**
  - 沿着钱塘江散步，可以打卡杭州奥体、杭州之门，夜景亮灯非常出片。

使用寄送服务，无需等待，行李放下就走。
- 大小行李同价。
- 专人护送行李，轻松取件。
- 预约后如行程变动，可免费取消。

#杭州 #杭州旅游 #西湖 #杭州夜游 #杭州出差 #行李寄存 #行李寄存攻略 #杭州行李寄存 #行李寄送 #行李寄送服务 #行李寄送到酒店 #行李寄送攻略 #杭州行李寄送 #杭州新镖局 #新镖局"
"春节倒计时！杭州的春节氛围非常浓厚！这里分享三条年味Citywalk路线。过年不回家的朋友们可以直接参考，一起感受杭州的年味慢生活。

路线1：地铁吴山广场站 ➡️ 大井巷 ➡️ 南宋御街 ➡️ 鼓楼 ➡️ 大马弄 ➡️ 德寿宫 ➡️ 五柳巷。这条路线充满市井年味。在大马弄感受老杭州的烟火气，大井巷有咖啡一条街，德寿宫的红墙年味十足，还有2025年落叶装置，非常适合拍照打卡。

路线2：香积寺 ➡️ 大兜路 ➡️ 小河直街 ➡️ 小河公园 ➡️ 拱宸桥 ➡️ 桥西历史街区。这是一条运河Citywalk路线，沿途都是红红火火的新年装饰。先去香积寺祈福，再沿着运河慢慢逛。大兜路文艺小资，小河直街适合簪花拍照，拱宸桥更是标志性建筑。春节逛大运河，寓意着来年走大运。

路线3：萧然山街 ➡️ 五七公社 ➡️ 东巢创意园区。这是一条人少且小众的宝藏路线，一口气连逛三个创意园区。建议下午4点后前来，可以看落日，享受蓝调时刻，灯光亮起后，集市会变得热闹起来。

在逛吃的过程中，来一杯热气腾腾的奶茶再合适不过了。爷爷不泡茶春节期间推出的新品，不加糖更好喝，过年畅饮无“腹”担。

### 爷爷不泡茶新品推荐

**云雾深山**：成分超简单，精选1200米高山上的红茶，搭配上纯牛奶，茶香与奶香平衡得恰到好处。即使是喜欢甜食的人也会觉得不加糖更好喝，茶味浓郁，口感醇厚，仿佛置身于云雾缭绕的深山茶园之中。

**红玫瑰**：第一次尝试到如此明显的玫瑰味奶茶，花香调令人惊艳。据说使用的是云南大理重瓣玫瑰提取液，并且还可以嚼到真实的玫瑰花瓣，一口下去仿佛置身于花海之中，口齿留香。

### 新品福利
- 1月15日起，购买两杯大杯新品（云雾深山+红玫瑰），可领取巳巳如意香卡一个。
- 1月15日起，购买任意中杯单杯（云雾深山/红玫瑰/珍珠红）+3.9元得巳巳如意香卡一个。

快来店里尝尝这些新品吧！"
"如果你是第一次来杭州，除了经典的西湖一日游，我推荐你走一些西湖边不同的城市漫步路线，感受杭州的历史、人文、美景和烟火气。无论哪个季节，杭州都值得细细品味。

1. **灵隐祈福线**：
   - 法喜寺
   - 法净寺
   - 灵隐寺
   - 永福寺
   - 韬光寺
   - 灵顺寺
   这条路线包含了多个古刹，可以体验中式美学，适合寻求心灵宁静的人。

2. **京杭运河线**：
   - 武林门
   - 拱宸桥
   - 桥西历史街区
   - 小河历史街区
   - 小河直街
   - 香积寺
   这条路线不仅可以看到美丽的运河景色，还能参观五个博物馆，非常适合带孩子了解运河历史文化。

3. **环游西湖线**：
   - 湖滨线
   - 白堤线/北山街线
   - 苏堤线
   - 南山路线
   西湖的美景无需多言，亲自体验才能感受到它的魅力。

4. **人文线**：
   - 胡雪岩故居
   - 于谦故居
   - 钱王祠
   - 章太炎纪念馆
   - 苏东坡纪念馆
   - 岳王庙
   - 蒋经国旧居
   - 沙孟海故居
   这条路线带你深入了解杭州的历史文化。

5. **赏桂线**：
   - 石屋洞
   - 满觉陇
   - 汤屋
   - 杨梅岭
   - 理安寺
   - 九溪烟树
   秋季时分，这条路线将为你带来最美的桂花香。

6. **南宋遗韵线**：
   - 五柳巷历史街区
   - 德寿宫
   - 胡雪岩故居
   - 鼓楼
   - 十五圭巷
   - 大马弄
   - 馒头山社区
   这条路线带你感受老杭州的烟火气息。

7. **绿光森林线**：
   - 杭州植物园
   - 云松书舍
   - 杭州花圃
   - 茅家埠
   - 乌龟潭
   - 浴鹄湾
   - 太子湾公园
   - 虎跑公园
   这条路线带你走进绿色氧吧，享受大自然的宁静。

8. **良渚线**：
   - 良渚文化村
   - 美丽洲教堂
   - 美丽洲公园
   - 良渚博物院
   - 良渚古城遗址公园
   这条路线适合带孩子探索古遗址和丰富的文物历史。

希望这些路线能够帮助你更好地体验杭州的美。我是管哥，持续分享户外徒步路线，关注我，解锁更多旅行好地方！"
"超级像宫崎骏动漫里的小屋，很可爱又很梦幻。里面有小羊可以一起合拍（注意小羊也是有上班时间的哦！），去晚了可能小羊就没有了。地点是悬崖牧场（西湖区建议自驾）。 

推荐一个好地方，享受这悠闲时光，住进风景里，一起享受大自然的美，远离城市的喧嚣。分享一些笔记灵感。这个地方在杭州，有点像新西兰。适合探店，可以作为周末去哪儿的选择。非常适合在杭州拍照，也是杭州旅游的好去处。关于杭州周末去哪儿和杭州探店的建议。也适合citywalk。"
"路线：灵隐寺 ➡ 法喜寺 ➡ 苏堤 ➡ 曲院风荷 ➡ 西泠桥最美转角 ➡ 白堤断桥 ➡ 武林夜市

打卡点：
1. 灵隐寺（寺庙要穿长裙，地铁国黄龙体育中心地铁站B口和龙翔桥地铁站D口，武林广场E口出，坐灵隐专线）
2. 法喜寺（灵隐寺门口有观光车直达法喜寺，票价10元，步行需40分钟，里面拍照机位有黄墙和上香处，个人认为两个寺选择一个去就可以啦）
3. 曲院风荷（在雷峰塔门口坐观光车到岳庙（曲院风荷）下车，票价10元，可沿途浏览苏堤风景，六七月荷花正盛）
4. 苏堤（比较推荐坐观光车浏览，刚好在曲苑风荷和断桥之间，可以比较完整地欣赏苏堤美景）
5. 断桥（可以从曲院风荷步行到西泠桥，也能经过西湖最美转角，然后沿着白堤一路步行到断桥，看夕阳西下）
6. 武林夜市（还有精力的朋友可以在附近的武林夜市逛逛！各类小吃都有！不过也和其他地方的大差不差）
7. 杭州嘉里（来杭州真的不用带太多衣服，嘉里中心的boneless超好逛！款式很多，三位数一大袋子！）

Tips:
- 在杭州推荐小电驴出行，可以用哈啰租一辆小电驴，长续航家用款的那种，跑的久还不堵~

美食推荐：
1. 付小姐在成都（杭州总店）（超爱串串！品种很丰富~小郡肝非常嫩量也很足，真的太爱了恨不得每天都去吃一次！火箭鱿鱼很Q弹，辣度也刚好。可以点上一碗冰粉，怕辣的朋友用来解辣正合适）
2. 芳明小吃（每次都排队的苍蝇小馆，每道菜都很独特！招牌炸鸡翅外皮炸得金黄酥脆，里面的鸡肉鲜嫩多汁！家常豆腐是先过油后再炒的）
3. 红帽叔叔包子（杭州小笼包尊嘟要吃！这家一块一个蛮便宜的，肉的包子是灌汤的，辣椒油是我喜欢的类型！再蘸醋真的很好吃很搭！）
4. 鸿姐老火锅（杭州旗舰店）（不喜太甜选了家高分火锅！贡菜丸鲜嫩Q弹辣锅香辣过瘾！新出的糖水好漂亮解辣冰爽！这家是旗舰店，在武林路，交通很便利）
5. 无名氏面馆（本帮面都是咸鲜口，浓油赤酱的味道很足，浇头都是每点一份厨房现爆炒的，面条偏硬的口感很有较劲）
6. 大马弄蒋师傅酥鱼（老牌酥鱼店，鱼肉新鲜现称40一斤，鱼经过油炸后再过一遍料汁，料汁是糖醋酸甜口再放上葱花）

#杭州旅游# #西湖# #杭州美食# #哈啰租电动车# #租电动车# #大平台租电动车用哈啰# #杭州租电动车# #杭州一日游# #西湖拍照#"
"来杭州旅游真的要先做好攻略，不然容易踩雷。我加班整理了一份三日游玩路线，姐妹们可以参考。

- **杭州近期天气**：4-14°C，可能会降温。
- **交通**：杭州站和杭州东站离西湖很近。
- **灵隐寺**：需要购买两次门票，分别是飞来峰40元和灵隐寺30元。

### 必玩景点：

1. **杭州西湖**：
   - 公园码头 → 三潭印月（船票70元/人）→ 花港观鱼 → 太子湾公园 → 净慈寺（门票10元/人）→ 雷峰塔（40元/人）→ 苏堤 → 曲院风荷 → 断桥 → 武林夜市
   - **交通**：地铁1号线到龙翔桥C出口，再步行5分钟。

2. **灵隐寺**：
   - 在飞来峰景区内，去祈福据说很灵验。
   - **门票**：飞来峰40元，灵隐寺30元。
   - **交通**：直接打车前往。

3. **法喜寺**：
   - 杭州人气寺庙，进门免费领取三支香，素斋也不错。
   - **门票**：10元，素斋2-5元。
   - **交通**：西湖区西湖街道天竺路338号。

4. **西溪湿地**：
   - 四季绿树成荫，景区分收费区和免费区。
   - **门票**：80元。
   - **交通**：地铁3号线西溪湿地南站。

5. **超山风景区**：
   - 有大片的梅花，被誉为“十里香雪海”。还可以坐手摇船，品咖啡，在东园设有商业街，适合亲子游玩和城市漫步。
   - **门票**：40元，游览车10元。
   - **交通**：景区内外都有停车场。

### 放心去玩的事：

1. 去超山风景区看一次梅花海。
2. 乘坐游船，穿行于古镇之中。
3. 在西湖随心漫步，船游西湖，花港观鱼。
4. 感受西塘水乡的街道，观赏别致的小镇夜景。
5. 穿一次汉服，拍出属于自己的人生照片。

### 景点预约：

1. **西湖**：搜索“西湖旅游”预约。
2. **西溪国家湿地公园**：搜索“西溪湿地”预约。
3. **杭州宋城**：搜索“宋城旅游”预约。
4. **杭州各个寺庙**：搜索“杭州寺院参观预约平台”预约。

杭州以西湖美景闻名，是“丝绸之府”和“人间天堂”，这里既有古典园林的雅致，也有现代都市的繁华，龙井茶香飘四海，还有“十里香雪海”的超山风景区，是一座融自然美景与人文底蕴于一体的东方名城！"
"说到杭州的打卡地，不得不推荐天目里啦！网红潮人聚集地！购物逛街、看展逛集市，吃喝玩乐全都齐活了！除了商场之外，天目里的周边环境也超美。园区种了很多树，商场与公园结合。逛累了就找个小角落坐下来看树吹风，非常惬意。

**Badmarket**
刚出地铁没走多久就看到了。超级好逛的一家店，各种年轻个性的品牌合集店。汉堡小子系列除了衣服之外，还有多巴胺化妆包、餐盘蜡烛等各种好玩的小玩意。强烈推荐大家去逛，没有2小时出不来！

**茑屋书店**
集书店、文创、美食咖啡为一体，除了好拍好逛，个人感觉书的质量也很高！尤其是摄影、建筑类的艺术书籍，还能看到日本杂志。

**OT10SUM**
偏冷淡风格的服装店，男女装都有。衣服都属于有质感但不容易撞款的类型。尤其是女装，处处充满设计感的小细节。喜欢中性风格的姐妹可以逛一逛。

**石卷工房**
国内首店，据说是日本311大地震后的家具品牌店。有售卖桌椅板凳沙发，还可以自己亲自DIY设计。店里的原木色质感真的很治愈。

**天目里美术馆**
不定时展览。最近是片刻即纪念碑。6楼是动作世界，身体语言沉浸式体验活动。

**Drivepro**
被门口的奥特曼吸引进去的，里面是一个潮玩集合店。压缩汽车模型、做旧设计的行李箱、宇航员模型……每款都很精致。

**B1OCK**
杭州最大的买手店，涵盖了服装、家具、生活方式为一体的概念空间，整整9层楼，顶楼还有一家餐厅。简直不要太好逛！感觉就像是进入了潮人们的客厅。

交通：地铁3号线古墩路B口出

#杭州旅游 #杭州周末去哪儿 #杭州商场 #天目里 #杭州吃喝玩乐 #逛展 #艺文生活新地标 #城市活动超好玩 #杭州拍照"
来杭州Citywalk推荐首选小河直街。
"冬天去杭州拍照简直是一大享受，避开人潮找到一些小众机位更是让人心动。早上可以定位在苏堤跨虹桥，沿着孤山路走到看海转角，大概七点左右可以看到美丽的西湖日出。孤山路沿途的光华复旦、长椅都是不错的拍照背景。继续往前走到平湖秋月，这里茶馆和咖啡店林立，还可以近距离拍摄游船，找个地方坐下来晒晒太阳，非常惬意。接着沿着白堤欣赏垂柳，北山路的梧桐窗景也别有一番风味。这样一条路线不仅能够避开大部分游客，还能让你的拍摄之旅更加舒适和惬意。

相关话题：
- 杭州
- 杭州旅行
- 杭州旅游
- 杭州拍照
- 杭州周末去哪儿
- 西湖
- 西湖拍照
- live图
- 是live也是life
- 浪漫生活的记录者
- 春节图鉴
- 春节返乡图鉴
- 新年拍照灵感
- 西湖日出
- 新年旅行第一站
- 新年版citywalk
- 反向旅行出门溜溜
- 中式旅行天花板
- chinatravel
- 诗意画卷里的中国山水

@摄影薯 @生活薯 @薯队长"
"宝子们好，我是南乔。最近分享了一些杭州新年旅行攻略，很多人都说很实用！这篇是给大家分享杭州年味满满的小河直街-大兜路附近的citywalk路线。

新年来杭州玩的宝子们，可以去逛逛小河直街，感受一下杭州人慢悠悠的好时光~对啦对啦，给你们画了详细的路线图哦～在图2

Citywalk路线（经典版不废腿）：
地铁3号线香积寺站 -> 大兜路历史文化街区 -> 小河直街 -> 小河公园 -> 桥西历史街区 -> 拱宸桥 -> 地铁5号线大运河站

水上巴士（票价3元）：
坐水上巴士1号线由香积寺斜对面的信义坊码头上船，拱宸桥码头下。白墙黛瓦，绿水行舟，有一种说不出来的松弛感。

推荐打卡点+出片机位（划重点）：
1. 香积寺
- 手串：手串特别好看，感兴趣的可以请一串。
- 素斋：香积寺的素斋很有名，票价20元，建议尝尝。
- 大雄宝殿：拍“古今同框”，非常震撼。

2. 大兜路历史文化街区
紧挨着香积寺，大兜路有很多装修很棒的咖啡店，遇市集活动时很热闹，满满的烟火气。目前大兜路已经开始有了新年元素，很多人在取景拍照打卡。

3. 小河直街
- 后院有海：环境很好的创意融合菜馆，二楼有个小窗台，拍照很出片。
- 寒烟杂货铺：很有趣的一家店，没事来逛逛，感觉非常好。
- 摩登主妇：位置在小河公园正中间小油罐，很有文艺气息，很好逛，有很多创意的小玩意，餐具杯子太可爱了！

4. 桥西历史文化街区
紧邻拱宸桥，挨着三个博物馆（中国扇博物馆、中国伞博物馆、中国刀剑博物馆），免费且不用预约。

5. 拱宸桥
是京杭大运河到杭州的终点，一座拱宸桥，半部杭城史。

游玩Tips：
1. 全程3公里左右，路线可自由选择，建议穿双舒适的鞋子。
2. 运河巴士不用提前订票，上船可用支付宝支付（末班车18:00）。
3. 运河边的夜景超美，一定不要错过。
4. 小河直街簪花店很多，建议找家口碑好点的，价格1-2百，周末人多可能需要排队。

#小河直街# #小河直街历史文化街区# #citywalk# #杭州citywalk# #杭州年味# #杭州周末去哪儿# #杭州周末去哪玩# #江浙沪周边游# #香积寺# #大兜路历史街区# #桥西历史街区# #大运河# #拱宸桥#"
如果你来杭州，我会带你走一趟从大马弄到五柳巷的路线，感受老杭州街区的市井味道。
"2024年即将结束，步入全新的2025年。为了分享给想要一个人静静、不会被打扰的朋友们，我精心整理了以下合集。愿你在想要独处时，在杭州这座城市的某个角落，能找到一片宁静的天地。

1. 去北山街倚靠在长椅上感受冬日暖阳。
2. 去吴山广场爬上城隍阁喂鸽子。
3. 去小河直街咖啡店闲坐和Citywalk。
4. 去孤山公园漫步感受西湖的静谧。
5. 去良渚玉鸟集大屋顶玉湖公园感受艺术氛围。
6. 去北高峰财神庙深度唤醒身体与灵魂。
7. 去宝石山登高俯瞰西湖的旖旎风光。
8. 去武林文化广场乘水上巴士赏两岸风光。
9. 去太子湾静坐在湖边感受杭州的温柔与美好。
10. 去中河北路清吧借酒精泡沫消融繁忙纷扰。
11. 去茅家埠深入里西湖体会清幽野趣。
12. 去浙江博物馆感受非物质文化遗产的魅力。
13. 去湘湖水杉林赏冬日的热情似火。
14. 去乌龟潭坐上摇橹船观山川飞鹭。
15. 去龙井村沏壶清茶品岁月悠长。
16. 去之江文化中心在书籍与文物的海洋里遨游。
17. 去麦家理想谷蜷缩在角落里享受自己的世界。
18. 去钱塘江边漫步钓鱼共赏落日余晖。
19. 去九溪十八涧徒步短暂逃离生活压力。
20. 去先照寺远眺湘湖层林尽染的斑斓画卷。
21. 去浙江美术馆沉浸于艺术的深邃海洋。
22. 去湘湖院士岛躺卧于大草坪上宁静冥想。
23. 去五丰岛放慢节奏和渔民一起渔樵耕读。
24. 去十里琅珰徒步登山感受大自然的疗愈。
25. 去法喜寺香积寺上香拜佛吃斋饭。

欢迎大家留言补充！杭州还有哪些适合一个人安静独处的地方？

@生活薯 @本地薯 @户外薯 @城市情报官

#这一年我看过的风景# #杭州# #杭州周末去哪儿# #杭州周末好去处# #杭州旅游# #记录吧就现在# #记录我的城市# #适合一个人发呆的地方# #i人#"
"西湖是去无数次都不会厌的地方，在西湖边等待一场日落是杭州一场不约而同且浪漫的行动。分享一个西湖小众落日机位和我的杭州一日漫步游路线，中秋国庆来杭州的朋友千万别错过。

🌟 杭州citywalk一日漫步路线：河坊街 -> 南宋御街 -> 大马弄 -> 十五奎巷 -> 城隍阁 -> 柳浪闻莺

📍 河坊街/南宋御街：两条老街紧相连，保存古城悠久历史风貌，有很多杭州本地热门小吃和手工艺品。霸王茶姬的西湖中秋赏月路线也是从河坊街三店这开始，中秋完成对诗就可盖【灯笼章】，同时赏味中秋新品金乌扶摇就可以盖【玉兔章】。

📍 大马弄：藏着本地烟火气与美食，有着杭州真实的市井气息。边吃边逛，搭配金乌扶摇，口味清新，青柑普洱刮油解腻，东方树叶党狂喜，真的炫不停。

📍 十五奎巷/城隍阁：随后由十五奎巷登上城隍阁，俯瞰西湖，感受秋高气爽的自在。

📍 柳浪闻莺：白天仿佛闯入绿野仙踪，等到黄昏夕阳把水面染黄，雷峰塔矗立湖上，山水不移，月色依旧。在霸王茶姬柳浪闻莺店集齐第3个【柳浪闻莺门店章】，17点后就能换中秋限定周边福袋咯～

月亮慢慢圆，事事皆如愿，好运连连来。月满西湖，提灯相会～ 

#霸王茶姬新品 #金乌扶摇重回云南 #金乌扶摇好运直上 #月满西湖提灯相会 #西湖中秋拜月 #杭州旅游 #杭州拍照 #西湖 #杭州 #杭州小众景点 #周末去哪儿旅游"
城市里那些可可爱爱的小店，特别是在杭州这样的美丽城市，为游客提供了丰富的游览和美食体验。比如在国庆假期，您可以参考划得来的逛吃指南，去发现一些既便宜又漂亮的餐厅，品尝到杭州的小滋味。这类小店往往隐藏在西湖周边或城市的各个角落，给旅行增添了更多的乐趣和惊喜。无论是寻找特色小吃还是手工艺品，这些地方都能让您感受到杭州的独特魅力。
"崽崽们具体跟着我的路线走～
香积寺（乘坐地铁三号线到香积寺站C口，或者打车也很方便）
大兜路（有很多摊位和咖啡店，还有可以拍照的年味场景 📸）
小河直街（有书店和沿河咖啡店）
小河公园（油罐建筑很好拍，还可以遛狗晒太阳 🌞）

赶紧出发吧～
#vlog# #杭州citywalk# #我的新年愿望# #情侣日常# #逛街# #小河直街# #大兜路# #新年fitcheck#"
"杭州年味Citywalk！记住这一条：香积寺 ➡ 小河直街 ➡ 大兜路步行街，年味市集已经准备就绪！
- 停车场：大兜路停车场
- 地铁：地铁3号线香积寺地铁站C号口
- 穿着建议：建议穿红色衣服能拍出年味大片

玩累了不妨去海茵汇温泉（滨江店）舒缓一下身心，他们家的汗蒸房、桑拿房一应俱全，手法到位，力度合适。泡完澡还可以去饮食区享受高品质水果饮料，吃饱喝足后好好休息。

黄色袋鼠【欢洗节】活动时间：1月22日 - 2月13日，获取88元包。
推荐话题：
#周末去哪儿
#live图
#杭州周末
#杭州周末去哪儿
#年味
#citywalk
#杭州年味
#杭州拍照
#杭州打卡
#发一张照片记录今天
#2024旅行结算
#小众旅行地
#后劲很大的旅行地
#记录吧就现在"
"来杭州游玩，除了西湖，南山路也是必逛的一条路。这里充满了艺术气息和浪漫风情，一边是西湖的美景，另一边则是风格各异的历史建筑。道路两旁的大梧桐树遮天蔽日，走在树荫下，满目的绿色让人的心情变得轻松愉快。你可以租一辆自行车或者悠闲地散步，感受那份宁静与美好。

- **租辆自行车** 或者 散步
- **浙江美术馆**：位于西湖边，不定期有各种展览。之前很火的雕塑展就在这里。可以直接刷身份证进入参观，无需预约。
- **长桥公园**：雷峰夕照的打卡地，适合观赏日落，远望能看到雷峰塔。
- **柳浪闻莺**：西湖十景之一，满眼的绿意和拱桥倒影，如同杭州的绿野仙踪。
- **钱王祠**：为纪念吴越国的钱王而建，红墙黛瓦间透露着历史韵味，门票15元。
- **西湖博物馆**：场馆虽小但非常有趣，展出了一些文化文物，并介绍了西湖的发展起源。推荐观看【西湖四序】3D投影，拍照效果极佳，无需预约。
- **勾山里**：一条百米长、宽6米的青石板坊巷，墙上有关于其历史的铜版画。虽然地方不大，但值得一探。
- **恒庐美术馆**：民国时期的建筑，旁边还有潘天寿纪念馆，可以免费参观。
- **南山书屋**：在灰砖洋楼的小别墅中，店内安静，灯光昏暗，主要售卖艺术类书籍，是静心阅读的好去处。
- **中国美术学院南山校区**：建筑与自然完美融合，校园内随处可见的雕像和爬山虎。可预约入校参观，感受浓厚的艺术氛围。
- **西湖天地**：有一片空旷的草坪，附近有许多餐饮店，逛累时可以在此休息。

以上景点不仅适合拍照打卡，还能让你深入体验杭州的文化和历史。"
"杭州经典Citywalk打卡路线再次升级啦！大兜路历史文化街区的“奇遇摩登”已经成为新的网红圣诞打卡点，位于街区的尽头，是一家餐厅。以下是详细的打卡指南：

- **地点**：大兜路历史文化街区
- **停车信息**：街区有地下停车场，从停车场电梯出来即是大兜路；马路对面的卖鱼桥小学文汇校区以及旁边的乐堤港也有停车场。
  
**圣诞打卡点**：
- 网红圣诞打卡场景位于“奇遇摩登”这家店，就在街区的尽头。
- 街区尽头还可以走到香积寺，右侧绿地中央广场有一棵大型圣诞树，还有一些展览可以参观。

**小贴士**：
1. 下雪时间：周二至周日，每天13点、15点、17点、19点，每场10分钟。
2. 参观街区尽头的香积寺和绿地中央广场的圣诞树及展览。

相关话题：#周末吃喝影像# #圣诞气氛在身边# #杭州周边游# #杭州周末去哪儿# #杭州圣诞# #大兜路历史街区# #杭州拍照# 

希望这份攻略能帮助大家更好地享受这次Citywalk之旅！"
杭州旅游 北山街 西湖美景 杭州拍照 citywalk 本地人才知道的好地方 杭州小众拍照
杭州西太后已经开业了！下午茶的甜品非常精致！ #西太后# #杭州新店# #viviennewestwood# #西太后单品# #西太后咖啡店# #杭州拍照# #杭州美食# #杭州咖啡# #cotd咖啡探店# #国庆我要慢慢玩# #杭州小众拍照# #周末去哪儿# #周末探店# #探店# #下午茶# #citywalk# #杭州探店# #杭州旅游# #中秋旅游# #氛围感拍照#
"近期来杭州，不要错过这条运河Citywalk路线：

👉路线：濮家站 - 运河水上巴士1号线 - 信义坊码头 - 富义仓 - 香积寺 - 大兜路历史街区 - 小河直街 - 小河公园 - 中国大运河博物馆 - 拱宸桥 - 桥西历史街区 - 中国伞博物馆 - 中国刀剪剑博物馆

**Tips:**
1. 如果这条路线中您想要逛博物馆，建议上午开始逛起；如果您下午到达，又想逛博物馆，建议直接坐到拱宸桥下船。
2. 这条路线适合先逛香积寺的，如果带小朋友的话，可以从拱宸桥开始逛起，后面会专门分享一条带娃的路线。
3. 这条路线串联了运河边的博物馆，请记得提前预约，周一、周二闭馆。

#我的春节这样过 #春节去哪儿 #杭州周末去哪儿 #杭州旅游 #杭州旅行 #杭州 #西湖 #西湖美景 #杭州拍照 #杭州Citywalk #杭州老街 #运河 #假日citywalk #citywalk"
"春节反向旅行来杭州，除了西湖，我更想推荐这3条宝藏citywalk路线。满满的年味儿和烟火气，问了33个杭州本地人都这么说！

### 1. 最有“年味儿”的大运河citywalk线路
